award_show_name,award_name,show_title,season_num
Infinite Frame Awards,Best Show,Crimson Star Wild,1
Celestial Screen Festival,Best Show,Kingdom Sky Galaxy,2
Mythos Media Awards,Best Soundtrack,Kingdom Sky Galaxy,2
Granite Star Awards,Best Actor,Kingdom Sky Galaxy,2
Silver Peak Honors,Lifetime Achievement,Kingdom Sky Galaxy,2
Frostfall Entertainment Ceremony,Best Cinematography,Kingdom Sky Galaxy,3
Celestial Screen Festival,Best Costume Design,Kingdom Sky Galaxy,3
Nova Prime Showcase,Best Screenplay,Shadow Eternal,1
Aurora Arts Awards,Best Director,Shadow Eternal,1
Nebula Night Showcase,Lifetime Achievement,Shadow Rising Secret,2
Eclipse Talent Fest,Best Show,Shadow Rising Secret,2
Harborlight Entertainment Awards,Best Cinematography,Shadow Rising Secret,2
Echo Stage Ceremony,Best Show,Shadow Rising Secret,2
Celestial Screen Festival,Best Soundtrack,Magic Midnight,1
Timberline Arts Awards,Best Soundtrack,Magic Midnight,1
Golden Horizon Ceremony,Best Screenplay,Magic Midnight,1
Golden Horizon Ceremony,Best Actress,Magic Midnight,3
Infinite Frame Awards,Lifetime Achievement,Silent Sky Past,1
Emberlight Arts Showcase,Best Show,Silent Sky Past,1
Bluefire Cinema Honors,Best Soundtrack,Silent Sky Past,1
Aether Artistry Gala,Best Soundtrack,Silent Sky Past,1
Spectrum Talent Awards,Best Visual Effects,Nightfall Sky,1
Frostfall Entertainment Ceremony,Best Soundtrack,Nightfall Sky,1
Mythos Media Awards,Best Costume Design,Nightfall Sky,2
Starlight Entertainment Gala,Best Visual Effects,Past River,1
Infinite Frame Awards,Best Cinematography,Past River,1
Golden Horizon Ceremony,Best Director,Past River,1
Silver Peak Honors,Best Costume Design,Past River,1
Golden Horizon Ceremony,Lifetime Achievement,Hidden Phantom Galaxy,1
Solar Flare Showcase,Best Cinematography,Hidden Phantom Galaxy,1
Radiant Reel Awards,Best Actress,Eternal Dreams Sky,1
Aether Artistry Gala,Best Show,Eternal Dreams Sky,1
Radiant Reel Awards,Best Visual Effects,Eternal Dreams Sky,1
Crimson Crown Gala,Best Soundtrack,Eternal Dreams Sky,1
Bluefire Cinema Honors,Best Show,Magic Wild Secret,4
Starlight Entertainment Gala,Best Screenplay,Echo Neon,3
Granite Star Awards,Best Actor,Echo Neon,3
Silver Peak Honors,Best Screenplay,Echo Neon,3
Solar Flare Showcase,Best Actor,Echo Neon,3
Ironquill Arts Night,Best Director,Legends Sky Eternal,2
Aurora Arts Awards,Lifetime Achievement,Legends Sky Eternal,2
Silver Peak Honors,Best Screenplay,Legends Sky Eternal,2
Spectrum Talent Awards,Best Soundtrack,Secret Midnight Dreams,2
Timberline Arts Awards,Best Show,Secret Midnight Dreams,2
Aurora Arts Awards,Lifetime Achievement,Secret Midnight Dreams,2
Rivermoon Arts Gala,Best Visual Effects,Secret Midnight Dreams,2
Starlight Entertainment Gala,Lifetime Achievement,Secret Midnight Dreams,3
Bluefire Cinema Honors,Best Visual Effects,Silver Fading Silent,1
Mariner Media Awards,Best Visual Effects,Voyager Future Golden,2
Echo Stage Ceremony,Best Cinematography,Past Hidden Crimson,1
Frostfall Entertainment Ceremony,Best Visual Effects,Past Hidden Crimson,1
Nebula Night Showcase,Best Show,Past Hidden Crimson,2
Emberlight Arts Showcase,Best Show,Past Hidden Crimson,2
Golden Horizon Ceremony,Best Show,Eclipse Fury Silver,3
Infinite Frame Awards,Best Soundtrack,Fury Sky Star,1
Rivermoon Arts Gala,Best Visual Effects,Fury Sky Star,1
Ironquill Arts Night,Best Screenplay,Fury Sky Star,1
Granite Star Awards,Best Cinematography,Fury Sky Star,1
Nova Prime Showcase,Best Screenplay,Fury Sky Star,3
Solar Flare Showcase,Best Soundtrack,Fury Sky Star,3
Eclipse Talent Fest,Best Screenplay,Fury Sky Star,3
Echo Stage Ceremony,Best Screenplay,Hidden Golden,2
Nebula Night Showcase,Best Visual Effects,Hidden Golden,4
Timberline Arts Awards,Best Actress,Hidden Golden,4
Crimson Crown Gala,Best Director,Future River Silver,2
Rivermoon Arts Gala,Lifetime Achievement,Future River Silver,2
Whisperwind Entertainment Fest,Best Actor,Future River Silver,2
Nebula Night Showcase,Best Screenplay,Future River Silver,2
Aether Artistry Gala,Best Actor,Future River Silver,4
Bluefire Cinema Honors,Best Visual Effects,Future River Silver,4
Aurora Arts Awards,Best Visual Effects,Future River Silver,4
Emberlight Arts Showcase,Best Director,Kingdom Secret,3
Echo Stage Ceremony,Best Soundtrack,Kingdom Secret,3
Golden Horizon Ceremony,Best Costume Design,Kingdom Secret,3
Harborlight Entertainment Awards,Best Soundtrack,Kingdom Secret,3
Whisperwind Entertainment Fest,Best Costume Design,Kingdom Secret,4
Solar Flare Showcase,Best Actress,Kingdom Secret,4
Celestial Screen Festival,Best Actress,Kingdom Secret,4
Solar Flare Showcase,Best Costume Design,Kingdom Secret,4
Crimson Crown Gala,Best Visual Effects,Neon Fury Whispers,3
Visionary Arts Summit,Best Actress,Neon Fury Whispers,3
Starlight Entertainment Gala,Best Actress,Neon Fury Whispers,3
Lunar Crest Celebration,Best Cinematography,Neon Fury Whispers,4
Crimson Crown Gala,Best Visual Effects,Neon Fury Whispers,4
Cindercrest Honors,Lifetime Achievement,Neon Fury Whispers,4
Cindercrest Honors,Best Actress,Neon Crimson Eternal,1
Crimson Crown Gala,Best Soundtrack,Neon Crimson Eternal,1
Cindercrest Honors,Best Show,Neon Crimson Eternal,1
Emberlight Arts Showcase,Best Cinematography,Neon Crimson Eternal,1
Frostfall Entertainment Ceremony,Best Show,Neon Crimson Eternal,3
Golden Horizon Ceremony,Best Soundtrack,Voyager Silver,1
Infinite Frame Awards,Best Director,River Ancient Echo,1
Lunar Crest Celebration,Best Actress,River Ancient Echo,1
Nova Prime Showcase,Lifetime Achievement,River Ancient Echo,1
Starlight Entertainment Gala,Best Visual Effects,River Ancient Echo,1
Bluefire Cinema Honors,Best Cinematography,Phantom Dreams Sky,1
Granite Star Awards,Best Screenplay,Phantom Dreams Sky,1
Nova Prime Showcase,Best Cinematography,Phantom Dreams Sky,1
Spectrum Talent Awards,Lifetime Achievement,Phantom Dreams Sky,1
Echo Stage Ceremony,Best Soundtrack,Kingdom Rising Wild,1
Emberlight Arts Showcase,Best Cinematography,Kingdom Rising Wild,1
Infinite Frame Awards,Lifetime Achievement,Kingdom Rising Wild,1
Aether Artistry Gala,Best Visual Effects,Kingdom Rising Wild,1
Harborlight Entertainment Awards,Best Soundtrack,Crimson Voyager,4
Rivermoon Arts Gala,Best Cinematography,Wild Shadow,4
Frostfall Entertainment Ceremony,Lifetime Achievement,Wild Shadow,4
Solar Flare Showcase,Best Actor,Wild Shadow,4
Rivermoon Arts Gala,Best Screenplay,Eternal Sky Storm,3
Visionary Arts Summit,Best Show,Eternal Sky Storm,3
Mythos Media Awards,Best Visual Effects,Eternal Sky Storm,3
Bluefire Cinema Honors,Best Screenplay,Eternal Sky Storm,3
Nova Prime Showcase,Best Director,Midnight Dreams,2
Rivermoon Arts Gala,Best Cinematography,Midnight Dreams,2
Lunar Crest Celebration,Best Soundtrack,Fading Eclipse Hidden,1
Visionary Arts Summit,Best Cinematography,Fading Eclipse Hidden,1
Obsidian Screen Gala,Best Soundtrack,Fading Eclipse Hidden,1
Obsidian Screen Gala,Best Visual Effects,Fading Eclipse Hidden,1
